position,text_of_post
toxic,"Uh, this did happen during Clinton's campaign, in case you forgot.  Remember the dossier on Trump from the British spy?
And no, I didn't vote for Trump, nor do I support most of what he's done, but the hypocrisy and faux outrage on this is ridiculous."
toxic,"By Easter Trump will have against him over 50% of the population, most federal  judges, the 600 city mayors, many Allies will turn very cold at him, Putin will not be his friend, the Chinese will laugh openly at his stupidity etc....Democrats need to have a champion ready for the 2020 election to get rid of the Clown"
non-toxic,"http://www.truthbeknown.com/victims.htm

https://www.google.com/amp/foreignpolicy.com/2016/06/14/if-islam-is-a-religion-of-violence-so-is-christianity/amp/

https://www.thedailybeast.com/yes-there-are-christian-terrorists

In the USA of today, you are more likely to be killed by a “christian “ than a Muslim.  They frighten me far worse."
toxic,"typical hate bases left wing stupidity, this was one great person"
non-toxic,"BLM doesn't want equal treatment.  They want to be above the law.  They want to kill white cops and they want to loot towns and get free stuff.  Doesn't sound that different.  They are both hate groups.  They can say they aren't, but their actions speak otherwise."
non-toxic,"Yes, but the government does have the right to shield the taxpayers from having to bear the cost of rescuing the stupid ones at Arctic Man!"
non-toxic,"That one CEO had no legal power to suppress the wages of women in his emloye. I don't care what he did or how he ran his company, all women and men got the same wages doing the same job.  He may have been a sexist pig, but there are many women out there to match him."
non-toxic,Pro-gun vs. Anti-gun. Anti-establishment vs. Establishment. Anti-Illegal Immigration vs. Pro-Illegal Immigration. Further (better) vetting of immigrants vs. Letting them in with the same system. Call out people that sexually assault/rape vs. Protect/cover up for sexual assaults/rape. Pretty distinct differences. Your vote. Your choice. Choose wisely.
toxic,You can not fix stupid!
non-toxic,trump should single the white nationalists out - just like obama should have singled out BLM for their violence.
non-toxic,"If you seriously think any liberal is crying in their milk you're more deluded than I thought.  We all knew this was coming. Enjoy being the architect of your own destruction. I've got my popcorn ready to watch the upcoming full-on disaster predicted by the previews of Trump picking his cabinet and walking back on his ""promises"" to the morons who believed a pathological liar who never cared for anyone but himself."
toxic,"What you refuse to accept, Mr. Conklin, is that this aina was taken illegally by haole business men of America who, like you,t believed they had the right as a superior, mightier race.  Racist in Hawaii was born from this one, historic act.  And for America's part in causing this sinful act of aggression, they apologized.  You however, and those of your ilk, are deaf, blind and dumb to this truth."
non-toxic,kinda nice to see someone with a backbone in the white house instead of the cowardly muslim
non-toxic,These people are from a country where corruption and fleecing the government are considered to be virtues. They need to be given long prison sentences to send a message to their fellow countrymen contemplating bamboozling the stupid Americans.
non-toxic,They are the freakie new breed of drag queens. They can't even admit they are gay.
toxic,"with a high priority for indigenous ,environmental and gender equality demanded by Canada into NAFTA negotiations ,to put it mildly we are screwed."
non-toxic,This ignorant fool never thought about all those options at all. He just blabbered out his poisonous thoughts.
toxic,What part of Universal Healthcare do these idiots in Washington not understand. It's time to join the rest of the civilized world.
toxic,"Contrary to popular belief not all criminals are stupid.

Fortunately, there are plenty like this moron that are."
non-toxic,"He called Trump a ""f-ing moron""...even more fitting."
non-toxic,Let them strike. There’s not a taxpayer in the county that’s going miss them.  Notice I said “taxpayer”
non-toxic,"Hate crimes in Canada are virtually non-existent. Check Stats Can - for 2013, the average number of hate crimes was 3.3 per 100,000 people in major metropolitan ares. This means that the odds of anyone having a hate crime committed against them are extremely rare. We don't need a government motion (with attached government spending - wasteful!) to condemn Islamophobia (a vague and politically malleable term.)

We deserve the right to criticize Islam. Islam is not only a religion, its a political movement. And all Canadians should strive against the political arm of Islam. We don't want another Rotherham here in Canada due to hate speech laws.

When Imams constantly preach death for those who leave Islam, and the pratice of Taqqiya (lying to non-Muslims) is encourage, and women get stoned to death for getting raped, and gay people get executed just for being gay, then Islamophobia makes sense.

NO on M103. No on C16. Vote out Trudeau in 2019!"
non-toxic,"It doesn't matter who wins. With a choice between a loudmouthed obnoxious buffoon or a lying cheating thief, Americans are screwed regardless."
toxic,"Who to believe... the woman who say they were sexually harassed,  or the guy that brags about grabbing women by the pussy?"
non-toxic,Stick to ignorant babbling about oil: you are only digging your hole deeper.
toxic,Too stupid to vote! Let's kill a Moose today instead.
toxic,"That madam, is pure rubbish."
non-toxic,Louis you look like a dam n fool with that man pony tail and baggy aloha shirt. C'man!!
non-toxic,"EXACT TRUMP QUOTES, COnt.
""Black guys counting my money! I hate it. The only kind of people I want counting my money are short guys wearing yarmulkes… Those are the only kind of people I want counting my money. Nobody else…Besides that, I tell you something else. I think that guy’s lazy. And it’s probably not his fault because laziness is a trait in Blacks.""

By the way, this and its companion post are reposts, muzungu.u But since you clearly never read them, I'm providing them again.  Enjoy."
toxic,Cleaner air.... from a guy who drives a big Ford diesel.....LOL...hey buddy we are all laughing at you.   I a surprised you are a reader of the G and M..Thought the local Sun rag would be more of your IQ rating.  You do have a post doctorate degree in idiocy dont you??
toxic,By disappearing you are F..ing your country how can we trust these bastards to be loyal to us? no more muslim terrorist in our country
toxic,So only ignorant and stupid people disagree with this absurd settlement?
non-toxic,"Putin is a murdering kleptocrat dictator, and you are a fool."
non-toxic,Please allow me the joy of knowing where one finds a totally ridiculous definition such as you quoted.Whats the source of all of this research.
non-toxic,"A ship of fools, that's what we have in Ottawa"
toxic,"Let's see.... Ontario is already heading for financial disaster... $330,000,000,000.00 in debt (is that the right amount of zeros?) and growing.... 
Even with a fiscally responsible government in place it will take decades to get Ontario on track..
And now the idiot Liberals come up with another ridiculous spending scheme??
Please, please, please, don't vote for your Liberal candidate next year."
toxic,"I have a better idea.
Let's disband the council. Seeing as we let developers disregard the law constantly, we could save money by not having the idiots who make said laws on the payroll."
toxic,"What a crude individual.   He acts and sounds like a ""dirty old man"""
non-toxic,Swedes are fools.
non-toxic,"The American people rejected you, McCain because you are a traitor to your country and your party. And because you are a morally bankrupt, self-centered fuck-up. You are not wanted. We elected President DJT! Now STFU, pendejo!"
toxic,"My takeaway from this speech is that the guy sounds like some moron on the boob toob. The question is: is he really that stupid, or is he playing us all?"
toxic,"wow more ignorant cult stupidity, ,the momentum is only by brain washed fools like you sucking up to the libs having no education on what  an economy runs on!,,, trump is about to send the usa economy into orbit while idiots like you and justin are about to tax and regulate ours into the dirt. simple economics loser, more tax and regs means less jobs and when the neighbors do lees taxation, it means companies move away, hope you enjoy the tent and poverty you are building"
non-toxic,"Get a cruise ship, and take me to the edge. If you can do that, I'll believe the shit out of this. Until then, knock it off and find a hobby."
non-toxic,The bottom line is that it's pathetic that rather than solve the houseless crisis they resort to mean-spirited harassment instead.  Maybe they should have a safe place where they can live and get the help they need to get back on their feet.  I guess it's too cheap and gratifying to continually punish and harass people with mental illness instead.
toxic,stupid is as stupid does
toxic,"“Handguns are very intimate firearms.”

Very true. The most intimate really, seeing as how large guns are really just compensatory palliatives for their owners’ pelvic shortcomings. (Note to Trump voters: All that fancy language means making a big gun go boom helps you forget about your small penis.)

This post is intended as humor."
toxic,Why is it you always seem to hear stupid things
non-toxic,"The gov. uses coercion to force
people to accept the li2s and these
so called science experts do as they
are told. That's how they ensure a
paycheque. Doing the lying for this
useless piece of crap"
toxic,Wow!!!!  One of the most stupid comments I have ever seen.
toxic,"A high schooler should be picking up trash along the freeway. When I meet precocious, arrogant high school know-it-alls I like to say to them ""When I was your age I was also an irritating asshole."""
non-toxic,"An irrational person (criminal/mentally ill) can use anything to justify criminal or anti-social behavior.  The media jumping on an innocent comment and warping it simply provides more opportunity for irrational people to latch on to something.  The Dallas police murderer, Orlando night club murderer, abortion doc murderer, and as you referred, a long sad history of irrational people doing what they want.  There will always be whack jobs who do whatever they want.  Trump's comments were in no way meant to incite violence and to say so is simply playing the outrage card and does nothing to promote civil discourse.  Twisting comments to make political hay is disgusting and intellectually dishonest."
toxic,"On the hypocrisy scale of 1 - 10, where does Meryl Streep sit?  I say 12."
non-toxic,imagine if this dumb witch every cared about mens healthcare or working peoples healthcare. she should resign. america is not just poor women.
non-toxic,OMG will these assaults on our homes never cease? We have to vote these Democrats out of office or be taxed out of our homes. They are already adding on a state property tax. Hogs at the trough.
toxic,"Cool, let's go shoot more sh*t!!!"
non-toxic,Thought we were supposed to hate russia
non-toxic,Enough already.  Cut the head off this snake.
toxic,"Mucky! Did the FBI come out with something about Trump!? There are no ties, but C'mon, don't hold back, share the juicy details!"
toxic,"He was an atheist who hated Christians.
He might as well have been ISIS."
toxic,"Why do the illogical ignorant idiots always use nicknames that suggest they are the complete opposite?  Fella, go with ""loony4Assad""...it suits you."
non-toxic,"For some of these demonic possessed brats, a straitjacket would be the least restrictive appropriate educational setting."
non-toxic,"I voted Trump, I wanted to attend but was to embarassed by my own parties disavow in and doings. The republicans in Hawaii is too shameful. Like ignorant sheeps."
non-toxic,Good one idiot down and a hell of a lot more to go.
toxic,Hot Wire Electric will be paying serious damages for their stupidity.
non-toxic,I think the term is anal expulsive.
toxic,What these idiots are protesting is free elections.   They lost and now they're having a hissy fit.   Somebody give them a participation trophy and a coloring book and tell them there will be other chances to vote.
toxic,"Hey O'Leary, why don't you just stay quiet as the loser you are for not staying in the race!  You are a loser and you backed a loser...losers back of the line!  Just be quiet and be a Mr.Wonderless!"
non-toxic,"She was a crook then, she is a crook now."
toxic,You are ignorant. Pure and simple.
toxic,"The R&R Hall of Fame has become a laughingstock and museum for crap.  There are so many groups and individuals who should have been enshrined but have consistently been left out, ignored, voted down, etc.  There was a time when it was a legitimate forum for real contributors, but it has come under the control of crazies."
non-toxic,Send them to Gitmo!  Hang them high.
toxic,Just fire her already!
non-toxic,"Damn right, other nations do that!"
non-toxic,Probably because he is a fool and obviously has something to hide. The noose is starting to tighten mostly because the liar and chief can't stop putting his foot in his mouth. Much of his problems are self inflicted. What a moron.
non-toxic,"It's so telling to see Alaska republicans and especially our congressional delegation rally around the ludicrous candidacy of Donald Trump. They squint real hard so they can visualize a creditor-cheating trust-fund baby as a savvy entrepreneur, a misogynistic serial adulterer as an advocate for women, and a pathological liar and braggart as a straight-shooter. 

Ask yourself again why Alaska is heading into dark days."
toxic,"my god you are stupid, , the cpc doesnt believe in carbon taxes to deal with the issue, get over it nut job."
toxic,"Comments about himself as eye candy? Hey Jughead, ""looks fade, but stupid is forever.""."
non-toxic,June Jones is another clown like our mayor. Full of Sh$t.
non-toxic,"Stupid conspiracy tin-foil hat wearers everywhere unite. As if there aren't enough real, actual  problems to deal with. Evidently false and blatently stupid fake news conspiraccy tales are just further proof that Americans as a populace are way too stupid to be allowed out without adult supervision."
toxic,"More partisan bullshit. Really, how much are you being paid to shill for Trump? Ugh."
toxic,It's a stupid question and not worth an answer.
non-toxic,"Point us to where and when Republicans had the black family all squared away, ignorant racist."
non-toxic,This tragedy was brought to you by an Islamic nutcase who hated gays.
non-toxic,"Stop spouting rubbish. Previous article mentioned the cost to retrofit at Marco Polo was around $4,500 per unit. 

And learn to do math, building built in 1971 makes it only 46 years old. You're the problem with America."
non-toxic,Hmmm. Sounds like Mokes or Flipflops. Trouble is both are dumb.
non-toxic,"Or killing gays
Or forcing women to cover themselves head to toe."
toxic,"In the current state of affairs, no ANC MP's could ever ask a relevant question - they would immediately be fingered as anti-Zupta. A perilous position for a coward."
toxic,Who cares what this idiot from the NYT thinks
toxic,"Where was their duty to be informed years ago when heading police depts or voting on laws.  These are the worst of our society -- holier than thou, and ignorant of the issues to boot."
non-toxic,"http://www.democraticunderground.com/discuss/duboard.php?az=view_all&address=132x3169449
You Can’t Argue With Stupid
By Nancy Greggs
It’s true. In any political discussion, you can educate the ill-informed, you can make some headway amongst those with common sense. But you can’t argue with Stupid – and you’re wasting your time if you try.
And Stupid was out in force this week."
toxic,This dimwit doesn't even seem to know that it is the liberals (liberal people) that support him/her/whatever. It surely isn't the conservatives. I think the cookie jar is just relatively empty now.
non-toxic,"Sally Yates shows her ignorance and her irrational mind.  Insulting ""some"" members of the intelligence does not allow her to conclude that Trump was insulting ""all"" members of the intelligence community.  Forming an ""all"" conclusion based upon a ""some"" statement is a favorite trick of liberals..."
toxic,"so, are you morons happy about his visit?"
toxic,"Look all you want, ""TROLL""!"
toxic,"He is turning into quite the village idiot, the broncos need to distance themselves far away from this buffoon 😵"
toxic,"It's not public cash.  It's shareholder's cash.

Not your concern what a corporation does with shareholder's cash.

Your comment is ridiculous."
toxic,Use your brain.
non-toxic,"What does it mean?

 Flush the Liberal looters.
▀▀▀▀▀▀▀▀▀▀▀▀▀▀

Worse than parasites, they're incompetent and bipolar too.
Tapeworms don't take their families to holiday in the Bahamas at taxpayer expense.

Canada needs Ivermectin for Liberals."
non-toxic,"Damn right he doesn't. 

That little kommie Maduro has enough on his plate already just trying to keep the inmates of his ""worker's paradise"" from ""retiring"" him in the traditional manner for kommie dictators..."
toxic,The only facts that matter to Trump and his supporters are the ones that comes out of his ass.
non-toxic,"It's not surprising that the Victim Card is gleefully played at every opportunity by Islamist academics. It's time the self-serving, self-anointed Muslim intellectuals began an introspective conversation  among Muslims-- clean up your own ideological backyard of intolerance, hatred, and deplorable human rights before pointing the finger at others."
toxic,The guy is what is a problem with Colorado. East Coast yahoos driving up prices. Agrees to the rules then doesn't like them when they don't suit him. You can bet he'd be the first to complain about someone else. We can debate the stupidity of the rules but no one forced this idiot to agree to them. He's a child.
toxic,"Great job FPD, that guy was in need of a dirt nap apparently and wanted to suicide by officer. I hope that don't hurt your feelings libs. Play stupid games win stupid awards..."
non-toxic,"Your comments about fees vs taxes are idiotic. 
When government, under the force of authority raises 'fees' to finance government operations it matters little to us mostly powerless taxpayers what you call it.
Fees--taxes--- or 'revenue enhancements' as Kirk the Korrupt likes to call it. 
We are just sheep being fleeced to feed the bloated government money machine. 
But at least you could give us some credit for our intelligence and use plain language instead of euphemisms for what is yet another excuse to raid our pockets.
In summation, please don't pee on my leg and tell me it's raining."
non-toxic,"Hillary Clinton is a liar, thief, foul-mouthed, evil, dishonorable, sexual predator enabler and you choose to support her. What does that indicate about you?"
non-toxic,"Trash. I own acreage in the McKenzie Valley that has been in my family since 1960. I've watched first hand as the watershed is poisoned by helicopters every spring and fall. The rolling foothills are now denuded and replanted with hyper growth doug fir planted in corn rows. Without genetic diversity, a disease could wipe out millions of acres of tree farms and leave dead, diseased trees to burn or rot. And BTW, Weyco is no longer ""The Tree Growing Company"". They are a real estate trust and poised to develop their lands into 20 and 40 acre home sites, putting more rural homes adjacent to tree farms and increasing the risk of another human caused wildfire. It's stupidity based on greed and nothing else. When you enjoy a glass of water, thank the chemical industry for the additional flavors of 2,4d, and a palette of herbicides designed to kill. It's an unsustainable practice that will come back to haunt us."
non-toxic,Then get off the fkn road moron!!  Is that really hard to figure out? My gawd for amazingly stupid.
toxic,"I consider a large portion of the Muslims to be
"" barbarians"".
I also consider the Mexican gangs, MS13 to be ""barbarians""."
toxic,I expect he feels no more stupid than you do. Do you?
non-toxic,Your an idiot. The top 1% will get the biggest break while the rest of us struggle to pay rent.
toxic,Or he's just the dumbest democrat in congress.
non-toxic,"these posts by left wing lunatics like you ex are amazing proof of the brain washing that remains in ignorant minds since for one thing there is no russia anything bud, , less that 15 % of Canadians hate trump and respect the usa for thier own issues,, yet look at all these boards,, all the proof I need about lunatics like you"
non-toxic,Yep you are a sore loser
toxic,"Gosh-darned,  all this modern equal rights is silly, we need to bring back the 40's and 50's! Women's place in in the kitchen, segregation was all the rage, and ignorance was bliss..."
toxic,Kissing ass and playing politics more important to him than the people he represents.  Sad choice.
toxic,Yes!!!!!  Lets oust a Mayor and then put her in as a candidate!!!  Do you people realize how stupid that sounds!  WTH
toxic,Here come the climate change deniers. Neanderthals yearning for simpler times where no one was forced to endure the torture of third grade spelling tests or living in a world where some assholes went to college.
toxic,Block this troll. Had enough of this poser
toxic,"T-Rex was a pain in the ass, but not endless.  In fact they completed the project early, 22 months!, and under budget, 3.2%.    That's very telling for a construction company."
toxic,"Fine clear commentary.  Despite the twaddle in the comments section spreading unverifiable calumny about Hillary Clinton, Trump is a dangerous idiot who needs to be kicked back to the fringes where he belongs.  Hopefully today will do that job."
toxic,trudeau said all but lets kill alberta thus they are justified with his stupidity
toxic,Not to worry.  Once the Republicans who continue to carry this idiot’s water get voted out of office he’ll be scream-tweeting about Democrats that will be laughing at his lame duck a**.  And the Republicans will realize that his good graces hurt them more than help them.
toxic,Stupid is as Gomer does.
non-toxic,"Agree with the scrutiny but the reasons are contemptible. The whole article is slanted towards legalizing the business for women. It is about women who started an illegal business for greater profits for themselves. To turn that into an anti-male emotional complaint is ridiculous. ""Primarily the benefit of men"" apparently to you the men who pay low women for sex are the lucky ones? And the real problem is they don't make enough money for it? Wow. Just wow!"
non-toxic,I say you are crazy.
toxic,"It took 6 years to put a man on the moon from the time Kennedy proposed it in 63. Check your facts, lest you sound like an ignorant fool."
toxic,"Trump is a mentally unbalanced buffoon.
He's unfit for office.
He's the largest threat to our nation's security and Congress should exercise it's responsibility and remove him now.
He's a petty con man, a racist supremacist, a sexual predator and a traitor.
Worst ever."
non-toxic,A clowncar filled with loser clowns sputters up the road.
toxic,"So... She says stuff. So does Rachel Maddow, Chris Matthews and Glenn Connectthedots. You like her? Go see her. You don't - go mow your lawn. Got a neighbor who is old and infirm, go help her out. You like her and don't like what some troll says about her? Ignore him. Just like any sensible liberal would if Maddow was coming to town. Go have a life ... all of you knuckleheads."
non-toxic,Well gosh darn it you're right. Both sides are bad. One side preaches evil and violent rhetoric and the other opposes them and what they stand for.  Clearly they are both to be condemned.
toxic,"""Damn that 1st Amendment!"" ...

-- the FEC --"
toxic,The truth is she can't stand the moron and is only in it for the money. She has eyes only for the secret service men who are around her.
toxic,Despicable humans.
toxic,"More crap by leftists who only want their ""approved"" opinions aired.  All others are of course racists and bigots and hate speech.  Not how this country works sweetie.  And by the way, it wasn't a girl the article was about - a girl has a vagina - not a penis and testicles.  Maybe you need to educate yourself a bit more."
toxic,Village idiot 😁
non-toxic,Exposing hypocrites like Trump and Pence is therapeutic for you? Good job!
toxic,"oh yeah???   what if one of the royals inline for the throne was such a ""trump""  then what hey???   we would be stuck with an idiot dictator and there is NOTHING we could do about it.  Charles is half way there, though..."
non-toxic,"Haha, I'm not.

Do you know what the definition of the word bigot is? It's an intolerance for anyone's ideas that are not your own. You fit this to a T. I am not anti Republican, or anti conservative. I've been a card-carrying member of both major political parties, as well as voted for a number of third party candidates. 

I am not anti anything, except when someone is out there pointing their fingers and spewing bigoted assumptions as though they are facts. 

I don't make posts like ""haha stupid inbred conservatives can't read that's why they elected Trump!"" In fact I've been quick to accept corrections and freely admit agreement.

You're the one saying: ""Stupid snowflakes, Liberalism is a mental disorder"" any chance you get.

I'm just in the center and try to be pragmatic, that's why I sound extreme to you: you're on the fringe. You're keep trying to shove a square peg through a round hole because you think the world works in black and white ""us vs them"" ways. It doesn't."
non-toxic,"With jerks like this prof, our UAA system is doomed. His peers should work to get him out of the university ASAP.  Stupid is as stupid does. I'd bet this man thinks he's a real sophisticated, highly educated man. Wow, his common sense must have disappeared if it ever existed, maybe he's eating his paints?"
toxic,"Damn right, man! The Feminist crap has reached it's peak and the real men are moving on to enriching their own lives, instead of being henpecked and held back for someone that just wants their money anyway. Plenty of beta guys out there that will take that crap and end up hating life, instead of taking the time to find out what they really want and enjoying life."
non-toxic,"You are absolutely screwed.  Dad is a fool, running up debts, buying a new truck (!!!), living well beyond his means. Nothing is going to change that. Ever.

There is no good solution here, and you trying to bail out ol' Dad is the worst possible one."
toxic,Deez Popoz so stupid. Don't they know there aren't many of their kind in Hawaii. Even a giraffe would not be hard to find.
non-toxic,"well, trump ignited the discussion on SEXUAL ASSAULT.

At least one good thing came from him being a pervert and a rapist."
toxic,Indians want the money put in their pockets with no question asked. Indians want money to look after their own children .Indians  are too greedy and narcissistic to be trusted.
non-toxic,You are picking fly shit out of pepper.
toxic,"what planet of stupid are you on? no tax can be 100% returned it takes a bureacracy to manage it and that eats up some of the money and for your eductation, look to bc,, so called is not revenue neutral,, still a tax, regardless too.. seriously, how can you not understand its a tax regardless???"
non-toxic,"If he's so stupid  as to not listen to his own Intelligence people on a regular basis, why would he listen to anything China says? The man is a walking time bomb to the world.  To his Intelligence people: ""Don't call me, I'll call you. I'll let you know when I need you"". Playing hard ball with China won't work. He has no idea of the consequences of his 'strong man' approach. There will indeed be serious and long lasting consequences if he pursues taking sides with Taiwan. This isn't just another business competitor he can bully around."
toxic,"Pure and simple, idiots!"
non-toxic,Keep giving publicity to this and it will never go away.  Let's put every rude and stupid person who does something silly in the crowd on the jumbotron and give them a  write up in the next day's paper and then complain about what they did and wonder why they keep doing stupid stuff in the stands.
toxic,If you were being pimped out by your husband and beaten while he was sitting on his ass probably playing video games than who and what.. would you feel sorry for. It's time to not give these losers a break ok!!
toxic,wench and evil whore o f the first order!
non-toxic,"Tabatha Southey is a crazy borderline personality misandrist that has destroyed her husband's life--beloved comedian Dave Foley from Kids in the Hall. I suggest to anyone reading her articles. and her employer, to read about how she greedily forced Dave Foley to pay money he never had, lying about abuse, and horrendous other details of abuse and psychological and emotional torment using her children for private gain and revenge. She shouldn't be a reporter on anything about values or integrity or facts because she has none of those and is a pathological clinically insane selfish horrible human being."
non-toxic,"Schiff has just been voted the biggest dunce of the month. His response was ""I'm going to hold on to the position because no one is a bigger dunce"""
toxic,Giving stupid kids a chance not to f up thier lives with a conviction.
toxic,"Why oh Why are comments closed in the Norman case??  When the government is using the police to persecute individuals who challenge their idiotic policies, why is the Globe complicit?"
non-toxic,"It's fine that you're proud of being a bigot, a racist and a xenophobe, but no serious adult wants that in the Presidency representing our country.  There are simply not enough Klan member types to get trump elected.  In 6 weeks, he'll be ancient history - a bad memory, just like Palin..."
toxic,"Simply grow your own, or pay the tax and stop whining. The extra revenue will help, because it certainly won't be spent on mythical ""overdoses"" or training hillbilly barney fifes to recognize weed. Lord have mercy, we are being led by morons..."
non-toxic,"Wow he just gets keeping bounced back and forth like a tennis ball.  And what is so desperate and funny about it all, is that Furlong is now the obedient puppy, trying to please with every command given and taken away. He could have retained his dignity by saying he wants nothing more to do with the apparent inability of UBC to make a decision.  Trying to prove oneself to be completely innocent of wrong doing is in Trudeau's words  ""Very hard.""  He deserves to look like a fool because he is a fool."
toxic,"Trump has no gauge on what to say to any audience.   If an audience of blow up dolls filled a stadium, to which Trump  graced with his immeasurable wisdom and insight?  He would not know the difference.  Completely clueless."
toxic,Most everything Trump says can be reduced to one idea: suck my d*ck.
non-toxic,"Quit insulting me. You wouldn't know a smart one if he walked up and hit you on the head, which I'd be glad to do if it would help."
toxic,what a load of shit this town is. this guy should have answered the door with an AR with a 30 round clip. keep shooting until these worthless fucked up imports are all laying in the street bleeding to death. the mayor would then award the victim a 50k reward. end of story.
non-toxic,"Islam, better known as the seventh century death cult, must be snuffed out. Unfortunately we have a spineless President who is either sympathetic to the cause or just plan ignorant."
toxic,"Oh bull crap. You got a bunch of democrats elected and now you think you will get refunded. Sadly, you are probably right."
non-toxic,"No, just trying to kill Republican congressmen at a baseball game. Oh and cops."
non-toxic,There are millions to be made in the climate business;none to be made in disagreeing with climate alarmists. wonder why so many are on the climate change bandwagon? and why did IPCC feel the need to fudge figures? Climate models weren't scary enough so they pump  up the numbers? Governments love this ;they can tax like crazy and pretend the cause is just. complete crap.
toxic,I will never pay a bike tax. Good luck enforcing that. How many more police will it take? Im sure they will love it too. Idiot.
non-toxic,Idiot
toxic,"Damn, sorry i missed this.  From 34A to 40Long I luv me sum boobies!"
toxic,These idiots signing a petition are further proof the left does not agree with democracy. What ever happened to free expression.
non-toxic,"right, because trump pays illegal immigrants who hate him for wanting to clean up the country of their sorry rumps. are you really that stupid or just pretending. ahhh, nobody can be that stupid."
toxic,Why are we killing responsible savers in order to prop up these idiots? Hope they all wind up begging on the street.
toxic,"FUCK THEM, these Uneducated FOOLS.!!!!   Not to Civil,, but the TRUTH.!!!!"
toxic,Hubris is such a killer.
toxic,Don't mind your post because you're nuts and you really need the outlet.
non-toxic,"Every country that has 50% or over Muslims makes for other faiths or individuals very hard to live. Talking about being victim, how about thousands of Indian who were tortured and killed because they would not accept Islam. What about their identity. What about identity of countless Christians in Arabic countries : like Iraq, Syria, etc tortured and killed I totally horrific ways but Muslims what about their victimization, what about their rights. 
Those articles written about current situations in this newspaper are totally pathetic. It’s a joke."
non-toxic,That's not what the article indicated fake name Doughty.  The shooter may have hated America.  Quit injecting more hate.  Damn you must be one miserable @@@.
non-toxic,"Newsflash:  they aren't the brightest bulbs in the chandelier.  The first clue is how much the left wants the here.  The left likes losers.  That's their power base and it's all about power.  Know a few schoolteachers and privately they tell me how difficult it is to teach ""Latinos"".  That's because they are stupid."
non-toxic,"I don't get it. What's wrong with having a lying, ignorant, unethical incompetent with the attention span and emotional immaturity of a child for president?"
toxic,"Trump stole from the contractors and the public that he stiffed.

Great guy, that traitorous, criminal sleaze you're backing."
non-toxic,You sure TONTO don't mean GAY?
toxic,Yes your off base. Way off. How many times do you have to shoot someone after breaking into their home uninvited to call it attempted murder?  Reckless endangerment? Whos world are you living in?  This scumbag should be locked up and flogged dailey!!
toxic,What a stupid thing to say.
toxic,"Jason Kenney is a racist, a bigot, he's incompetent and corrupt. The perfect choice for Alberta's wingnuts."
non-toxic,"NOT reacting to it sends the message that we condone the violence (and particularly considering the ""grab them by the p*ssy"" source). Ignoring it would the muting, not the other way around."
non-toxic,"you a liberal jerk fred,, is bad, very bad, and will cost the poorest jobs and all of us having less to spend as prices soar, a smaller economy!!"
toxic,"Not a fan of Trudeau but I'll give him full marks for his ""bean counter"" comment with respect to the auto trade. That would be sheer lunacy trying to figure all that out and we'd be forced to levy a tax as well. Dumb."
toxic,They were lost during the Village idiots tenure.... O-bummer.
non-toxic,They only catch the dumb ones.
toxic,Same defense attorney that got Alexandra Ellis <12 months for killing Jeff Dusenbury. Scum.
non-toxic,An elected fool is still a fool. Not sure why folks think they will suddenly become capable in office.
toxic,"What a bunch of IDIOTS. The most fair and COLLECTIBLE tax is a SALES TAX. 
The success of a tax is if it is widespread, can be enforced easily and is paid by those who actually purchase goods and services. 
The fewer collectors of a tax the better, and there are much fewer businesses to collect a sales tax than there are residents, who may or may not honestly pay an income tax There are a LOT of income tax cheaters and to enforce collection of income tax requires a new State agency. 
Auditing businesses who collect sales tax is very straightforward and very few businesses of any size cheat on sales taxes. 
As a person increases their income, they buy more expensive items, therefore they pay more sales tax, Most states eliminate groceries from sales tax, so as to not unfairly hit the poor, so the sales tax is on items people CHOOSE to buy. Rich people buy planes, expensive cars, expensive homes, expensive ""toys"", remodel homes, buy new appliances, etc. and therefore pay more sales tax."
non-toxic,I say Thank you Vladimir. This is a case where he helped us to also help him too. Vladimir knows Trump is a dealmaker and not an idiot as Hillary was. Sorry that is the truth.
toxic,"Lyin' Ryan is as stupid as Trump if he thinks for a minute that anyone would buy the ""Ah shucks folks, he's new at this and still learning the ropes"" defense. Trump is as crooked as a roadmap of the backroads of Georgia and anyone that thinks otherwise is as ignorant as Trump."
non-toxic,I don't really care. The more the Muslim world chews itself up the better for us.
toxic,Canada's optimism was crushed by the unpleasant surprise that Trudeau is a liar and a coward.
toxic,"Go check your nylon net, kill kill kill!"
non-toxic,"Looks like this predator had this female playing his ""TRUMPET""..............Hang this predator upside down by his ""ORGAN""..........."
non-toxic,"This is an idiotic idea. CD Howe would be appalled.  The government is broke because it has failed to cut old idiotic spending, added new idiotic spending, overpays a bloated staff, and subsidizes silly ""innovation,"" retirees, and politically important companies.  They need to borrow more, but PRETEND they are not borrowing (as much).  So, take existing assets that generate revenue, or COULD generate revenue (e.g. currently non-toll bridges, roads, etc.) and sell them to the private sector.  Junior gets more money to burn NOW, while the corresponding loss to the public is in the FUTURE (either public revenue now going to the new private owner, or fees/tolls to be paid on something that would have been toll-free, because it was paid for {e.g.Coquhalla in BC}).  
IF a potential project will generate enough revenue to be profitable, let the private guys build it!!  You don't need to sell existing to get money to build new - let them do it.  If returns suck, it will not be built.  So what?"
toxic,or just his situation as a petty criminal and a loser.
